label,counts,probability
1.0,901,0.3754166666666667
0.6666666666666666,257,0.10708333333333334
0.25,380,0.15833333333333333
0.42857142857142855,252,0.105
0.1111111111111111,364,0.15166666666666667
0.8333333333333334,16,0.006666666666666667
0.0,167,0.06958333333333333
0.5714285714285714,6,0.0025
0.2,1,0.0004166666666666667
0.1,6,0.0025
0.38461538461538464,1,0.0004166666666666667
0.3333333333333333,2,0.0008333333333333334
0.05555555555555555,1,0.0004166666666666667
0.35714285714285715,1,0.0004166666666666667
0.21428571428571427,1,0.0004166666666666667
0.4444444444444444,1,0.0004166666666666667
0.375,3,0.00125
0.29411764705882354,1,0.0004166666666666667
0.2222222222222222,13,0.005416666666666667
0.125,2,0.0008333333333333334
0.14285714285714285,2,0.0008333333333333334
0.06666666666666667,1,0.0004166666666666667
0.1875,1,0.0004166666666666667
0.625,1,0.0004166666666666667
0.2727272727272727,1,0.0004166666666666667
0.15384615384615385,1,0.0004166666666666667
0.4,1,0.0004166666666666667
0.16666666666666666,2,0.0008333333333333334
0.3,1,0.0004166666666666667
0.07142857142857142,1,0.0004166666666666667
0.22727272727272727,1,0.0004166666666666667
0.21739130434782608,1,0.0004166666666666667
0.7142857142857143,3,0.00125
0.7777777777777778,1,0.0004166666666666667
0.875,2,0.0008333333333333334
0.16,1,0.0004166666666666667
0.23076923076923078,1,0.0004166666666666667
0.09090909090909091,2,0.0008333333333333334
